ROWNUM, X, Y, FEEDER
1,323800.04800000001,2780625.0260000001,CA31
2,323675.64399999997,2780399.8390000002,CA31
3,323727.34999999998,2780466.3369999998,CA31
4,323453.223,2780535.7230000002,CA31
5,323793.46799999999,2780511.6749999998,CA31
6,323933.55699999997,2780293.4879999999,CA31
7,323723.391,2780345.1690000002,CA31
8,323887.09100000001,2780321.3220000002,CA31
9,323878.58600000001,2780663.2940000002,CA31
10,324384.74200000003,2780466.5410000002,CA31
11,323819.46399999998,2780531.858,CA31
12,323691.61599999998,2780484.0249999999,CA31
13,324385.93099999998,2780542.2510000002,CA31
14,324030.43099999998,2780394.764,CA31
15,324275.011,2780931.5980000002,CA32
16,324414.91700000002,2781063.2280000001,CA32
17,324511.78700000001,2781113.0320000001,CA32
18,324363.23499999999,2781053.5049999999,CA32
19,324888.22499999998,2781525.264,CA32
20,324254.07199999999,2780888.9279999998,CA32
21,324973.10800000001,2781399.0070000002,CA32
22,324868.44699999999,2781468.6370000001,CA32
23,324638.67300000001,2781415.7689999999,CA32
24,324808.97999999998,2781452.1320000002,CA32
25,324598.57900000003,2781305.784,CA32
26,324470.69500000001,2781130.426,CA32
27,324347.179,2780964.0630000001,CA32
28,324693.576,2781433.3760000002,CA32
29,324600.65700000001,2781295.6260000002,CA32
30,324370.07000000001,2781183.361,CA32
31,324563.86800000002,2780504.784,CA33
32,324260.06,2780632.9440000001,CA33
33,324359.64199999999,2780998.2140000002,CA33
34,324411.44,2781034.9550000001,CA33
35,324374.61700000003,2780848.2170000002,CA33
36,324449.84700000001,2780573.5350000001,CA33
37,324355.56199999998,2780791.216,CA33
38,324403.81400000001,2780853.6809999999,CA33
39,324627.70400000003,2780926.8309999998,CA33
40,324320.72600000002,2780674.5079999999,CA33
41,324473.73100000003,2780985.111,CA33
42,324383.527,2780559.088,CA33
43,324579.462,2780943.395,CA33
44,324383.90299999999,2780991.4890000001,CA33
45,325955.685,2780493.0950000002,CA34
46,325546.06199999998,2780414.1830000002,CA34
47,325977.48800000001,2780646.7110000001,CA34
48,324923.71399999998,2780456.6150000002,CA34
49,325999.88099999999,2780723.9330000002,CA34
50,324876.17200000002,2780461.8560000001,CA34
51,326002.92300000001,2780759.5090000001,CA34
52,325880.75400000002,2780523.952,CA34
53,324684.40899999999,2780474.0290000001,CA34
54,324740.91999999998,2780436.213,CA34
55,325459.71100000001,2780418.0759999999,CA34
56,326009.799,2780431.4100000001,CA34
57,325686.72499999998,2780463.2450000001,CA34
58,326006.13699999999,2780669.4070000001,CA34
59,325944.84000000003,2780521.4610000001,CA34
60,325231.951,2780404.2560000001,CA34
61,325361.19400000002,2780415.0780000002,CA34
62,325872.391,2780435.8390000002,CA34
63,325757.52600000001,2780737.236,CA34
64,324876.38299999997,2780500.8130000001,CA34
65,324608.076,2780511.9649999999,CA34
66,325902.73100000003,2780727.6430000002,CA34
67,326018.45799999998,2780371.523,CA34
68,326044.565,2780533.0040000002,CA34
69,325870.99599999998,2780687.5320000001,CA34
70,324175.72399999999,2780492.0970000001,CA35
71,324307.77100000001,2780409.074,CA35
72,324272.364,2780428.0800000001,CA35
73,324381.451,2780371.1260000002,CA35
74,324531.152,2780265.4789999998,CA35
75,324428.14199999999,2780372.128,CA35
76,325013.49400000001,2780272.1239999998,CA36
77,324906.23700000002,2780352.6120000002,CA36
78,324923.00799999997,2780150.0649999999,CA36
79,324655.27799999999,2780174.5049999999,CA36
80,324962.89500000002,2780287.5580000002,CA36
81,325019.74200000003,2780322.0720000002,CA36
82,325408.94099999999,2780361.7880000002,CA36
83,325176.40500000003,2780378.9580000001,CA36
84,325260.17599999998,2780330.4810000001,CA36
85,325584.16499999998,2780250.7680000002,CA36
86,324659.96500000003,2780255.568,CA36
87,325576.53499999997,2780193.966,CA36
88,324938.65299999999,2780332.5869999998,CA36
89,325388.64899999998,2780376.5249999999,CA36
90,325047.62599999999,2780155.7289999998,CA36
91,325138.46500000003,2780243.8459999999,CA36
92,324773.40100000001,2780356.5959999999,CA36
93,325503.09000000003,2780305.8250000002,CA36
94,324856.04200000002,2780217.5750000002,CA36
95,324884.97999999998,2780180.7050000001,CA36
96,324042.09100000001,2780662.9610000001,CA37
97,324543.99800000002,2780452.3659999999,CA37
98,324586.54599999997,2780196.2680000002,CA37
99,324651.55300000001,2780105.4389999998,CA37
100,324075.98800000001,2780494.1529999999,CA37
101,324482.94300000003,2780424.5320000001,CA37
102,324698.44900000002,2780420.1770000001,CA37
103,324449.92700000003,2780516.1779999998,CA37
104,324771.42700000003,2780297.9240000001,CA37
105,324104.94099999999,2780526.5920000002,CA37
106,324837.62900000002,2780395.8840000001,CA37
107,324504.11499999999,2780327.895,CA37
108,324688.50199999998,2780194.8339999998,CA37
109,324575.25400000002,2780291.0260000001,CA37
110,324076.22100000002,2780562.4720000001,CA37
111,324680,2780160,CA37
112,324629.08899999998,2780313.264,CA37
113,324596.53000000003,2779729.9139999999,CA38
114,324579.337,2780062.0890000002,CA38
115,324467.51400000002,2779744.7760000001,CA38
116,325459.64799999999,2779684.3500000001,CA38
117,324784.04399999999,2780041.0720000002,CA38
118,324898.05300000001,2779617.1349999998,CA38
119,324174.136,2779550.219,CA38
120,324601.88699999999,2779587.0920000002,CA38
121,325528.48999999999,2779803.898,CA38
122,324701.39399999997,2779919.4929999998,CA38
123,324952.90399999998,2780044.1179999998,CA38
124,324424.45299999998,2779996.9440000001,CA38
125,324368.58899999998,2779854.4849999999,CA38
126,324155.076,2779612.1499999999,CA38
127,324734.408,2779501.9739999999,CA38
128,324269.51299999998,2779814.304,CA38
129,324383.424,2779712.7850000001,CA38
130,324204.46999999997,2779668.4589999998,CA38
131,324782.04300000001,2780122.6919999998,CA38
132,324296.13099999999,2779917.9109999998,CA38
133,324547.67999999999,2779837.4449999998,CA38
134,324834.87400000001,2780062.3089999999,CA38
135,325353.94400000002,2779987.3909999998,CA38
136,324190.11599999998,2779474.227,CA38
137,324289.77100000001,2779742.3429999999,CA38
138,324504.42099999997,2780222.605,CA38
139,324729.065,2779618.7459999998,CA38
140,324273.97499999998,2779485.6979999999,CA38
141,324339.63500000001,2779507.2540000002,CA38
142,324852.65500000003,2779501.1600000001,CA38
143,324278.91499999998,2779911.2250000001,CA38
144,324305.342,2779440.9350000001,CA38
145,325465.19,2779863.6439999999,CA38
146,324248.50599999999,2779589.557,CA38
147,324453.891,2779873.2760000001,CA38
148,324879.02299999999,2780122.6129999999,CA38
149,324855.73499999999,2779939.1439999999,CA38
150,324831.96399999998,2780499.943,CA39
151,325184.75,2780395.1970000002,CA39
152,325260.09399999998,2780489.5529999998,CA39
153,325195.81300000002,2780746.3229999999,CA39
154,325353.56699999998,2780794.3160000001,CA39
155,324718.08899999998,2780644.9750000001,CA39
156,325257.804,2780796.2459999998,CA39
157,325175.571,2780545.7170000002,CA39
158,324972.74599999998,2780410.4240000001,CA39
159,325261.57199999999,2780639.0210000002,CA39
160,324690.29499999998,2780446.4279999998,CA39
161,324732.53600000002,2780709.0809999998,CA39
162,325050.23200000002,2780843.2689999999,CA39
163,325011.929,2780738.5180000002,CA39
164,324825.04599999997,2780546.9190000002,CA39
165,324986.72899999999,2780654.639,CA39
166,324855.94500000001,2780662.5460000001,CA39
167,324483.26699999999,2780723.5780000002,CA39
168,325096.03999999998,2780611.29,CA39
169,325106.359,2780524.1940000001,CA39
170,324745.74300000002,2780482.7969999998,CA39
171,324928.85999999999,2780533.1159999999,CA39
172,324948.94,2780822.9610000001,CA39
173,324675.91800000001,2780760.8110000002,CA39
174,325052.30499999999,2780478.071,CA39
175,325024.935,2780773.3689999999,CA39
176,324744.16200000001,2780578.1710000001,CA39
177,325217.61099999998,2780582.7620000001,CA39
178,325211.087,2780667.727,CA39
179,325095.55499999999,2780919.7960000001,CA39
180,325249.58299999998,2780736.8330000001,CA39
181,324504.63,2780723.6970000002,CA39
182,324157.27399999998,2780410.7069999999,CA40
183,324142.02799999999,2780506.2779999999,CA40
184,324238.17300000001,2780511.625,CA40
185,324153.95500000002,2780395.9190000002,CA40
186,324393.41600000003,2780448.9959999998,CA40
187,324231.342,2780463.3700000001,CA40
188,326390.47600000002,2780283.5410000002,CA41
189,326004.02899999998,2780328.7850000001,CA41
190,325941.95500000002,2780236.9389999998,CA41
191,326445.55200000003,2780254.6779999998,CA41
192,325771.71999999997,2780337.6970000002,CA41
193,326258.902,2780384.9569999999,CA41
194,326066.07699999999,2780322.7459999998,CA41
195,326185.18300000002,2780351.3760000002,CA41
196,325658.63900000002,2780350.4130000002,CA41
197,325898.99200000003,2780270.8489999999,CA41
198,326573.652,2780331.0499999998,CA41
199,325839.07500000001,2780366.9920000001,CA41
200,326310.52000000002,2780355.284,CA41
201,326075.522,2780243.7510000002,CA41
202,326462.21999999997,2780311.2829999998,CA41
203,325941.16499999998,2780121.219,CA41
204,326787.26899999997,2780508.9130000002,CA42
205,326834.315,2780385.764,CA42
206,324619.277,2780401.0320000001,CA42
207,326609.88699999999,2780352.6209999998,CA42
208,326217.00699999998,2780277.6609999998,CA42
209,326076.24699999997,2780333.7949999999,CA42
210,326608.45699999999,2780804.1200000001,CA42
211,326163.00099999999,2780181.213,CA42
212,326063.57400000002,2780279.534,CA42
213,326590.53700000001,2780796.0159999998,CA42
214,326205.61700000003,2780246.1860000002,CA42
215,326585.00300000003,2780635.8849999998,CA42
216,324683.25,2780390.9109999998,CA42
217,326484.43300000002,2780274.1570000001,CA42
218,326695.38699999999,2780653.906,CA42
219,326158.75099999999,2780291.3259999999,CA42
220,326558.408,2780588.9929999998,CA42
221,326795.33600000001,2780687.227,CA42
222,326622.815,2780582.7790000001,CA42
223,326511.13299999997,2780104.5320000001,CA42
224,326855.576,2780872.5040000002,CA42
225,326708.53700000001,2780779.0819999999,CA42
226,325816.17999999999,2780252.037,CA42
227,325810.52100000001,2780378.1320000002,CA42
228,326728.10100000002,2780980.9939999999,CA42
229,326638.223,2780492.2110000001,CA42
230,326667.28600000002,2780956.034,CA42
231,326515.23800000001,2780068.0890000002,CA42
232,326784.31099999999,2780234.8050000002,CA42
233,326658.90600000002,2780267.0060000001,CA42
234,326817.56,2780911.216,CA42
235,326359.34899999999,2780394.1669999999,CA42
236,326640.88799999998,2780751.1749999998,CA42
237,326573.96100000001,2780407.628,CA42
238,326474.103,2780562.8560000001,CA42
239,326570,2780250,CA42
240,326687.87,2780352.017,CA42
241,326494.88099999999,2780599.3930000002,CA42
242,326824.62599999999,2780496.3829999999,CA42
243,326776.57799999998,2780323.5980000002,CA42
244,324129.94099999999,2780410.5819999999,CA43
245,324201.48100000003,2780386.5240000002,CA43
246,324264.12199999997,2780412.4249999998,CA43
247,324063.364,2780303.8089999999,CA43
248,324089.17099999997,2780436.7069999999,CA43
249,324146.78000000003,2780365.8859999999,CA43
250,324313.76400000002,2780351.8620000002,CA43
251,324006.24900000001,2780283.1719999998,CA43
252,324446.28200000001,2781120.523,CA44
253,324249.98300000001,2780709.875,CA44
254,324474.91200000001,2781088.0720000002,CA44
255,324562.99200000003,2780979.4079999998,CA44
256,324705.13699999999,2781353.2850000001,CA44
257,324729.30900000001,2781046.8790000002,CA44
258,324610.22100000002,2781274.7140000002,CA44
259,324608.65500000003,2781162.5049999999,CA44
260,324665.81300000002,2781222.4739999999,CA44
261,324575.83100000001,2781136.3369999998,CA44
262,324604.717,2781012.861,CA44
263,324633.09100000001,2780995.3229999999,CA44
264,324527.52000000002,2781033.4470000002,CA44
265,324791.092,2780987.9240000001,CA45
266,325531.70699999999,2780815.202,CA45
267,325410.18900000001,2780618.6009999998,CA45
268,325571.90399999998,2780734.9870000002,CA45
269,324502.23700000002,2780814.6680000001,CA45
270,325335.929,2781015.9219999998,CA45
271,325395.75300000003,2780673.1140000001,CA45
272,325409.47600000002,2780572.6170000001,CA45
273,325613.06599999999,2780647.4330000002,CA45
274,324669.20799999998,2780572.213,CA45
275,325655.38799999998,2780760.0499999998,CA45
276,325324.90100000001,2780963.5529999998,CA45
277,325631.27000000002,2780894.0010000002,CA45
278,325702.94900000002,2780652.861,CA45
279,325586.17300000001,2780618.5699999998,CA45
280,324813.527,2780996.523,CA45
281,324605.60100000002,2780620.5329999998,CA45
282,325407.52899999998,2781018.3119999999,CA45
283,324711.81400000001,2780843.52,CA45
284,324582.07400000002,2780792.9270000001,CA45
285,325481.478,2780745.9079999998,CA45
286,324396.07299999997,2780731.0389999999,CA45
287,325850.91899999999,2780886.466,CA45
288,325021.076,2781014.173,CA45
289,324761.56699999998,2781034.3990000002,CA45
290,325713.11099999998,2780844.8420000002,CA45
291,325754.82000000001,2780862.861,CA45
292,325052.924,2780990.6850000001,CA45
293,325305.10700000002,2780842.7609999999,CA45
294,324361.49400000001,2780646.909,CA45
295,324698.71799999999,2780827.7519999999,CA45
296,325483.478,2780859.8339999998,CA45
297,325174.35399999999,2780997.8339999998,CA45
298,324570.15000000002,2780636.9980000001,CA45
299,324466.51899999997,2780653.077,CA45
300,325695.44,2780451.7170000002,CB32
301,326331.03000000003,2781535.2540000002,CB32
302,326177.05499999999,2782028.6830000002,CB32
303,326905.28700000001,2782620.8100000001,CB32
304,325536.43900000001,2780563.5630000001,CB32
305,325727.38400000002,2781162.0839999998,CB32
306,326297.84499999997,2782225.8930000002,CB32
307,326073.64899999998,2782452.0320000001,CB32
308,326132.77799999999,2782165.3530000001,CB32
309,325507.19500000001,2780500.8080000002,CB32
310,326010.55900000001,2782246.48,CB32
311,326197.49400000001,2781931.0860000001,CB32
312,326003.049,2782501.2340000002,CB32
313,326327.95199999999,2781642.0079999999,CB32
314,325063.636,2780463.1000000001,CB32
315,326305.21899999998,2781407.179,CB32
316,326070.00199999998,2782184.3139999998,CB32
317,325654.74300000002,2780518.3990000002,CB32
318,325991.45799999998,2782441.5109999999,CB32
319,326192.29700000002,2782505.1680000001,CB32
320,325993.08100000001,2782220.6179999998,CB32
321,326273.391,2782073.068,CB32
322,326377.36099999998,2781739.1830000002,CB32
323,325308.22700000001,2780500.7579999999,CB32
324,325449.33399999997,2780513.5109999999,CB32
325,326203.46799999999,2782291.3139999998,CB32
326,325905.989,2781562.8539999998,CB32
327,325355.68599999999,2780493.9739999999,CB32
328,325968.783,2781924.2080000001,CB32
329,326212.83000000002,2781908.6540000001,CB32
330,325852.83799999999,2781234.8790000002,CB32
331,326301.75699999998,2781801.909,CB32
332,326103.23599999998,2782092.3810000001,CB32
333,325934.43300000002,2782107.5980000002,CB32
334,325287.11700000003,2780525.5929999999,CB32
335,325612.80099999998,2781459.48,CB32
336,326058.321,2782392.2990000001,CB32
337,326547.48700000002,2782806.3849999998,CB33
338,325927.902,2782439.7050000001,CB33
339,325835.24400000001,2781901.2510000002,CB33
340,326491.00400000002,2782810.0589999999,CB33
341,325702.44,2781794.3130000001,CB33
342,325954.33899999998,2782572.5469999998,CB33
343,326005.57400000002,2782665.1170000001,CB33
344,326847.76400000002,2782980.6869999999,CB33
345,326771,2782778.3300000001,CB33
346,325591.60100000002,2781756.298,CB33
347,326531.41499999998,2782812.0980000002,CB33
348,325375.47200000001,2781789.1230000001,CB33
349,326839.54499999998,2783041.7960000001,CB33
350,325941.48499999999,2782311.2200000002,CB33
351,326455.08500000002,2782991.3250000002,CB33
352,326611.21299999999,2783063.3659999999,CB33
353,325959.12400000001,2782233.352,CB33
354,326770.04300000001,2782990.4730000002,CB33
355,325958.53000000003,2782604.9539999999,CB33
356,326778.897,2783056.6069999998,CB33
357,325418.364,2781842.9959999998,CB33
358,325923.777,2782155.6439999999,CB33
359,326617.20899999997,2783122.9210000001,CB33
360,326690.60700000002,2782764.0049999999,CB33
361,325853.473,2782084.2069999999,CB33
362,326557.15700000001,2782963.898,CB33
363,326568.75300000003,2783041.6039999998,CB33
364,328727.17599999998,2781296.2919999999,CB34
365,328602.23300000001,2781353.5320000001,CB34
366,328727.86499999999,2781314.5430000001,CB34
367,328476.614,2781324.827,CB34
368,328514.85600000003,2781221.818,CB34
369,328476.18099999998,2781266.2620000001,CB34
370,328561.288,2781114.1850000001,CB34
371,328691.647,2781298.835,CB34
372,328627.663,2782088.2379999999,CB34
373,328885.13,2781835.4550000001,CB34
374,328757.14199999999,2781959.273,CB34
375,328796.51299999998,2781736.8859999999,CB34
376,328636.451,2781396.1669999999,CB34
377,328550.33199999999,2781022.1320000002,CB34
378,328742.00599999999,2781715.5580000002,CB34
379,328564.18699999998,2780986.6699999999,CB34
380,327017.22399999999,2782958.8730000001,CB35
381,326961.06599999999,2783342.4070000001,CB36
382,326739.56400000001,2783228.3080000002,CB36
383,326899.00599999999,2783203.7030000002,CB36
384,326737.36599999998,2783775.1349999998,CB36
385,326372.826,2783396.2850000001,CB36
386,326681.24800000002,2783301.8300000001,CB36
387,327165.42800000001,2782972.6359999999,CB36
388,327198.40399999998,2783080.554,CB36
389,326343.17800000001,2783476.8130000001,CB36
390,326654.658,2783508.088,CB36
391,326169.93599999999,2783868.4219999998,CB36
392,326070.79999999999,2783228.5,CB36
393,326804.35700000002,2783523.5260000001,CB36
394,326212.005,2784044.577,CB36
395,326635.92999999999,2783487.3080000002,CB36
396,326233.36499999999,2783876.2620000001,CB36
397,326914.09600000002,2783565.6919999998,CB36
398,326142.08299999998,2783543.091,CB36
399,327093.30900000001,2783197.4330000002,CB36
400,326212.65500000003,2783318.767,CB36
401,326815.03899999999,2783102.304,CB36
402,326878.49099999998,2783291.8539999998,CB36
403,326793.03000000003,2783142.5959999999,CB36
404,326285.08600000001,2783914.3820000002,CB36
405,326610.09899999999,2783594.2400000002,CB36
406,326639.56599999999,2783678.0299999998,CB36
407,325582.34000000003,2783870.6579999998,CB36
408,326282.68599999999,2783485.3360000001,CB36
409,326809.87,2783708.0410000002,CB36
410,326190.99599999998,2783593.898,CB36
411,326106.73200000002,2783492.54,CB36
412,326537.43099999998,2783719.1940000001,CB36
413,327004.71999999997,2783320.2200000002,CB36
414,326887.25599999999,2783060.7779999999,CB36
415,326170.50099999999,2783915.4130000002,CB36
416,326127.12199999997,2783789.5980000002,CB36
417,326486.59499999997,2783543.0359999998,CB36
418,326803.03399999999,2783651.287,CB36
419,325555.79200000002,2783946.5699999998,CB36
420,326087.53000000003,2783364.7790000001,CB36
421,327078.75599999999,2783641.665,CB36
422,326151.90100000001,2783358.4870000002,CB36
423,326535.77299999999,2783308.5830000001,CB36
424,326387.27299999999,2783303.7689999999,CB36
425,326224.527,2783549.1269999999,CB36
426,326083.67800000001,2783408.3339999998,CB36
427,326393.804,2783445.122,CB36
428,326155.00900000002,2783679.7250000001,CB36
