FEEDER,CAPACITY
AA22,4214.3
AA23,4333.3
AA24,2939.7
AA25,4500.3
AA26,4900.3
AA28,4804.2
AA29,4139.1
AA30,4901.0
AA31,3957.1
AA32,3860.0
AB24,5000.0
AB26,4706.3
AB29,4716.3
AB30,4906.4
AB35,4583.0
AB36,4900.1
AB37,5000.0
AB38,4137.7
AB39,4485.5
AB40,4818.1
AB53,10000.0
AB54,10000.0
AB56,10000.0
AC22,4990.1
AC23,5000.0
AC24,4920.6
AC31,5000.0
AC32,4353.4
AC51,9973.8
AC52,9298.6
AC53,9289.5
AC54,9433.4
AD21,4823.6
AD22,5000.0
AD23,4925.6
AD24,1280.0
AD25,5000.0
AD32,5000.0
AD33,4970.0
AD34,4583.3
AD35,5000.0
AD36,5000.0
AD37,4996.7
AD38,5000.0
AD39,5000.0
AD51,9437.3
AD52,9938.6
AD53,9205.1
AD54,9592.9
AE21,5000.0
AE22,4983.8
AE23,5000.0
AE25,4968.9
AE26,2900.0
AE27,4543.1
AE28,4987.5
AE29,5000.0
AE30,5000.0
AE31,5000.0
AE32,4980.5
AE34,4683.2
AE35,4869.0
AE36,4986.2
AE38,5000.0
AE39,5000.0
AE40,5000.0
AF21,2474.1
AF22,4494.0
AF24,5000.0
AF25,4573.6
AF26,4687.0
AF27,4780.3
AF28,4994.3
AF29,5000.0
AF30,4803.2
AF31,3849.4
AF32,4970.6
AF33,4520.1
AF34,4955.0
AF35,2860.0
AG21,4546.9
AG22,4838.2
AG23,4984.5
AG24,5000.0
AG25,4989.4
AG26,4565.3
AG27,4980.6
AG28,4961.2
AG29,4595.6
AG30,5000.0
AG31,5000.0
AG32,5000.0
AG33,4896.8
AG34,4926.4
AG35,4953.2
AG36,4986.4
AG37,5000.0
AG38,4593.0
AG39,4947.5
AG40,4855.8
AH21,4888.4
AH22,4895.1
AH23,0.0
AH24,4425.3
AH25,4951.7
AH26,4931.8
AH27,4900.3
AH28,2180.0
AH29,4508.4
AH30,1968.7
AH31,5000.0
AH32,4902.7
AH33,4958.6
AH34,4841.2
AH35,2686.1
AI21,4352.0
AI22,2410.0
AI23,4010.0
AI26,4765.1
AI27,4492.2
AI28,4867.6
AJ21,3260.0
AJ22,5000.0
AJ23,4908.0
AJ24,5000.0
AJ25,5000.0
AJ30,4520.5
AK21,2350.0
AK22,0.0
AK23,790.0
AK24,4990.1
AK25,4646.5
AK26,770.0
AM21,4622.7
AM22,4850.8
AM23,2720.0
AM24,4222.5
AM25,3340.0
AM26,4903.4
AM27,1430.0
AM28,2560.0
AM29,4775.7
AM30,4500.0
AM31,4837.2
AM32,4776.3
AM33,4978.5
AM34,4743.3
AM35,5000.0
AM36,3020.0
AM37,2350.0
AM38,3260.0
AM39,4873.3
AM40,5000.0
AN21,4971.9
AN22,4950.9
AN23,5000.0
AN24,5000.0
AN25,4970.5
AP21,4972.4
AP22,4900.1
AP23,4950.6
AP24,4880.4
AP25,4625.4
AP26,4976.3
AP27,5000.0
AP28,4891.9
AP29,4957.2
AP30,4798.3
AP31,4917.6
AP32,4429.0
AP33,4805.7
AP34,4919.5
AP35,4939.6
AQ21,4864.4
AQ22,5000.0
AQ23,4749.0
AQ24,3931.5
AQ25,5000.0
AQ26,4491.8
AQ27,4868.7
AQ28,5000.0
AQ29,4801.8
AQ30,4986.2
AQ31,3166.2
AQ32,5000.0
AQ33,4849.9
AQ34,5000.0
AQ35,2930.0
AR21,4867.2
AR22,3367.8
AR23,2820.0
AR24,0.0
AR25,5000.0
AR26,0.0
AR27,4971.5
AR28,5000.0
AR30,5000.0
AR31,2932.8
AR32,4482.2
AR33,4843.5
AR34,5000.0
AR35,5000.0
AR36,3237.5
AR37,4473.8
AR38,4985.3
AR39,4900.8
AR40,4338.4
AR51,10000.0
AR56,10000.0
AS21,4270.2
AS22,480.0
AS23,4903.4
AS24,2765.4
AS25,4858.0
AS26,4659.4
AS27,2440.0
AS28,4900.2
AS29,5000.0
AS30,4917.0
AT21,4900.2
AT22,5000.0
AT23,4990.9
AT24,4922.3
AT25,5000.0
AT26,5000.0
AU21,3247.2
AU22,4992.3
AU23,1977.0
AU24,5000.0
AU25,3893.2
AU26,5000.0
AU27,4978.9
AU28,5000.0
AU29,0.0
AU30,3755.3
AV35,4892.1
AV36,4973.9
AV37,1559.6
AV38,5000.0
AV39,4989.2
AV40,5000.0
AV41,4962.2
AV42,4712.0
AV43,4987.9
AV45,4734.2
AV46,0.0
AV47,4680.1
AV48,4850.9
AV49,5000.0
AV51,9991.0
AV52,10000.0
AW21,4742.3
AW22,3760.0
AW23,3718.8
AW24,4270.0
AW25,4262.2
AW26,4967.6
AW27,4566.7
AW28,4524.5
AW29,4868.0
AW30,4932.0
AW31,4639.5
AW32,5000.0
AW33,5000.0
AW34,2990.0
AW35,690.0
AX31,5000.0
AX33,5000.0
AX34,4882.5
AX39,4427.5
AX40,4298.8
AY25,4958.4
AY26,4713.4
AY28,4990.2
AY29,4940.0
AY30,4750.3
AY31,3412.1
AY32,4494.6
AY33,0.0
AY34,4900.2
AY35,5000.0
AY38,3040.0
AY39,4623.1
AY40,2580.0
AY51,9986.3
AY52,9986.1
