ROWNUM,X,Y,FEEDER
﻿1,325387.21600000001,2739397.713,DA21
﻿2,325558.03100000002,2739512.9019999998,DA21
﻿3,325569.47600000002,2739323.0329999998,DA21
﻿4,325615.96100000001,2739408.6090000002,DA21
﻿5,325446.74099999998,2739474.9819999998,DA21
﻿6,325598.76500000001,2739427.395,DA21
﻿7,325399.71600000001,2739447.4100000001,DA21
﻿8,325425.58299999998,2739572.8829999999,DA21
﻿9,326071.103,2739509.8480000002,DA22
﻿10,326821.00199999998,2739974.0920000002,DA22
﻿11,326704.44300000003,2740196.952,DA22
﻿12,326206.09399999998,2739653.1869999999,DA22
﻿13,326534.19099999999,2739360.8849999998,DA22
﻿14,326389.978,2739685.483,DA22
﻿15,326504.37599999999,2739631.9909999999,DA22
﻿16,326815.63799999998,2739670.4180000001,DA22
﻿17,326409.69900000002,2739719.3259999999,DA22
﻿18,326646.701,2740082.014,DA22
﻿19,326276.47399999999,2739398.6690000002,DA22
﻿20,326774.359,2739679.1680000001,DA22
﻿21,326569.75799999997,2739469.9819999998,DA22
﻿22,327058.90100000001,2739924.7940000002,DA22
﻿23,326361.67800000001,2739435.898,DA22
﻿24,326301.18800000002,2739744.6430000002,DA22
﻿25,326431.67999999999,2739644.48,DA22
﻿26,326440.32400000002,2739440.341,DA22
﻿27,326578.147,2739514.486,DA22
﻿28,326172.17200000002,2739543.9279999998,DA22
﻿29,326317.33500000002,2739549.2259999998,DA22
﻿30,326464.88299999997,2739517.165,DA22
﻿31,326169.97600000002,2739722.3939999999,DA22
﻿32,326527.32699999999,2739717.7239999999,DA22
﻿33,326265.98800000001,2739396.0800000001,DA22
﻿34,326597.571,2739526.8119999999,DA22
﻿35,326627.69099999999,2739736.7450000001,DA22
﻿36,326409.01299999998,2739395.0580000002,DA22
﻿37,326351.408,2739358.9270000001,DA22
﻿38,326258.72999999998,2739545.7080000001,DA22
﻿39,326143.03100000002,2739478.8459999999,DA22
﻿40,326288.62800000003,2739729.8250000002,DA22
﻿41,326633.239,2739655.2030000002,DA22
﻿42,325633.717,2740528.1779999998,DA23
﻿43,326018.60200000001,2740666.8059999999,DA23
﻿44,325779.95500000002,2740437.906,DA23
﻿45,324858.79700000002,2741272.108,DA23
﻿46,324868.29100000003,2741024.3689999999,DA23
﻿47,326151.28200000001,2740275.1260000002,DA23
﻿48,325972.80599999998,2740597.0269999998,DA23
﻿49,324694.5,2741001.25,DA23
﻿50,324753.04200000002,2741204.7089999998,DA23
﻿51,325574.40100000001,2740622.895,DA23
﻿52,326138.85100000002,2740582.4219999998,DA23
﻿53,324455.83799999999,2741434.1970000002,DA23
﻿54,326044.81300000002,2740248.534,DA23
﻿55,325050.83500000002,2740593.5649999999,DA23
﻿56,324706.48599999998,2741063.3459999999,DA23
﻿57,324953.27399999998,2741050.8599999999,DA23
﻿58,324606.48700000002,2741315.392,DA23
﻿59,326138.72700000001,2740175.1230000001,DA23
﻿60,325545.92599999998,2740473.1000000001,DA23
﻿61,325967.995,2740593.6320000002,DA23
﻿62,324686.62400000001,2740939.4670000002,DA23
﻿63,325803.67300000001,2740783.3130000001,DA23
﻿64,326124.79399999999,2740613.8110000002,DA23
﻿65,324909.61700000003,2741133.781,DA23
﻿66,325072.53999999998,2740980.199,DA23
﻿67,325624.55800000002,2740437.1189999999,DA23
﻿68,325438.80200000003,2740652.5499999998,DA23
﻿69,325694.02600000001,2740374.4980000001,DA23
﻿70,325261.723,2740890.8139999998,DA23
﻿71,325664.64500000002,2740651.608,DA23
﻿72,325385.73300000001,2740799.3420000002,DA23
﻿73,324632.96399999998,2740759.3420000002,DA23
﻿74,325984.74699999997,2740334.662,DA23
﻿75,324729.73800000001,2741627.9190000002,DA23
﻿76,325911.43599999999,2740721.9939999999,DA23
﻿77,325282.185,2740656.7599999998,DA23
﻿78,325840.47100000002,2740674.9640000002,DA23
﻿79,324574.20199999999,2741445.0830000001,DA23
﻿80,325779.21999999997,2740363.4550000001,DA23
﻿81,324651.39600000001,2740878,DA23
﻿82,325168.85200000001,2740911.1490000002,DA23
