ROWNUM,X,Y,FEEDER
1,251578.188,2759825.019,FK29
2,258475.408,2754240.253,FK35
3,257730,2755530,FK21
4,257295.043,2756190.626,FK21
5,256307.418,2756192.238,FK21
6,255446.171,2756036.882,FK21
7,256773.007,2756760.731,FK21
8,257253.624,2756085.818,FK21
9,256776.203,2756544.317,FK21
10,257263.444,2755919.813,FK21
11,258097.98,2756266.779,FK21
12,257692.779,2755537.309,FK21
13,257655.15,2756169.367,FK21
14,257742.729,2756010.676,FK21
15,258232.034,2755766.954,FK21
16,256887.282,2756855.191,FK21
17,256600.187,2756628.85,FK21
18,256516.953,2756520.564,FK21
19,257187.923,2756567.891,FK21
20,258107.147,2755276.309,FK21
21,255662.081,2755925.468,FK21
22,255073.431,2756286.823,FK21
23,255383.542,2755414.45,FK21
24,255996.356,2756107.759,FK21
25,256060,2755830,FK21
26,257882.569,2755510.312,FK21
27,256622.858,2756023.105,FK21
28,255532.432,2755979.182,FK21
29,257191.421,2755736.959,FK21
30,257094.527,2756331.371,FK21
31,257676.841,2755899.206,FK21
32,256878.857,2756160.72,FK21
33,256283.405,2756607.306,FK21
34,257920,2756280,FK21
35,258145.577,2756184.461,FK21
36,255146.475,2755510.132,FK21
37,256544.68,2756848.481,FK21
38,256664.013,2756838.91,FK21
39,258387.77,2755507.1,FK21
40,258159.249,2755560.698,FK21
41,258394.73,2755148.416,FK21
42,256498.452,2756436.884,FK21
43,257132.35,2756236.061,FK21
44,255644.856,2755754.288,FK21
45,255306.708,2755751.244,FK21
46,256108.056,2756636.923,FK21
47,257801.319,2755495.488,FK21
48,257158.18,2756089.669,FK21
49,258160.999,2755799.801,FK21
50,256779.593,2756455.845,FK21
51,255743.227,2756572.471,FK21
52,256396.011,2756334.888,FK21
53,258190,2754830,FK21
54,257562.47,2756701.416,FK21
55,255859.051,2756558.03,FK21
56,255614.716,2756791.345,FK21
57,257350.497,2756030.221,FK21
58,257340,2756258.847,FK21
59,257620.132,2756303.715,FK21
60,258295.824,2754804.904,FK21
61,257990,2755800,FK21
62,257826.64,2755846.643,FK21
63,257580.027,2755942.509,FK21
64,256689.177,2756562.97,FK21
65,257037.568,2756820.279,FK21
66,258076.552,2755857.249,FK21
67,256581.417,2755690.784,FK21
68,256457.396,2755707.655,FK21
69,255127.508,2756023.339,FK21
70,257771.437,2755141.04,FK21
71,255403.122,2756233.313,FK21
72,256627.17,2756151.605,FK21
73,256831.139,2756426.011,FK21
74,257020.304,2756560.585,FK21
75,257518.475,2755630.412,FK21
76,255247.985,2755854.658,FK21
77,256482.052,2756134.979,FK21
78,256002.746,2756891.887,FK21
79,255848.262,2756822.475,FK21
80,255854.157,2756011.657,FK21
81,257563.383,2756239.619,FK21
82,258256.55,2754966.107,FK21
83,257263.632,2755719.766,FK21
84,255405.359,2755406.353,FK21
85,256450.377,2756830.395,FK21
86,257041.151,2756727.433,FK21
87,258225.752,2755180.65,FK21
88,258013.196,2755122.15,FK21
89,256609.977,2756219.681,FK21
90,256852.155,2756229.97,FK21
91,256500.709,2755674.599,FK21
92,256274.23,2755831.97,FK21
93,255568.866,2756984.313,FK21
94,255393.003,2755789.303,FK21
95,255178.476,2755734.911,FK21
96,257421.753,2756189.056,FK21
