FEEDER,CAPACITY
XA21,5000.0
XA22,5000.0
XA23,5000.0
XA24,5000.0
XA25,5000.0
XA26,4465.0
XA27,0.0
XA28,380.0
XA29,4215.1
XA30,4918.6
XB21,5000.0
XB22,5000.0
XB23,5000.0
XB24,5000.0
XB26,4901.2
XB27,2895.5
XB28,5000.0
XB29,4579.6
XB30,5000.0
XB52,9805.9
XB53,9201.6
XB54,9445.2
XB55,9687.9
XB56,8930.1
XB57,8761.6
XB58,7851.7
XB59,9798.4
XB60,8321.1
XC21,4820.3
XC22,1304.3
XC23,4598.2
XC24,4849.9
XC25,4699.0
XC26,4411.8
XC27,3776.9
XC28,0.0
XC29,4396.0
XC30,3402.1
XC33,5000.0
XC34,5000.0
XD21,3623.8
XD22,2303.5
XD23,5000.0
XD24,0.0
XD25,0.0
XD26,3221.5
XD27,0.0
XD28,0.0
XD29,2079.5
XD30,4133.3
XD31,0.0
XD32,0.0
XD33,0.0
XD34,0.0
XD35,0.0
XE21,0.0
XE22,0.0
XE23,463.2
XE24,3147.5
XE25,0.0
XE26,0.0
XE27,1970.6
XE28,0.0
XE29,198.0
XE30,0.0
XE31,5000.0
XE32,5000.0
XE35,5000.0
XF21,0.0
XF22,0.0
XF23,0.0
XF24,1094.7
XF25,0.0
XF26,1020.5
XF27,1364.4
XF28,0.0
XF29,0.0
XF30,0.0
XG21,0.0
XG22,0.0
XG23,4500.1
XG24,4860.1
XG25,4461.6
XG31,0.0
XG32,4948.5
XG33,4938.3
XG34,4678.7
XG35,4339.0
XH21,2317.2
XH22,4990.3
XH23,0.0
XH24,0.0
XH25,0.0
XH26,0.0
XH27,0.0
XH28,1340.0
XH29,0.0
XH30,0.0
XI21,2485.5
XI22,2976.7
XI23,1843.7
XI24,0.0
XI25,0.0
XI26,0.0
XI27,0.0
XI28,0.0
XI29,0.0
XI30,2918.5
XJ21,4890.8
XJ22,4273.1
XJ23,4773.1
XJ24,4478.3
XJ25,4842.3
XJ26,567.0
XJ27,4490.3
XJ28,4842.8
XJ29,4988.0
XJ30,0.0
XJ51,10000.0
XJ53,9391.2
XJ54,10000.0
XJ55,9901.6
XJ56,9984.1
XJ58,10000.0
XJ59,9990.8
XJ60,9977.9
XK21,3820.9
XK22,1483.5
XK23,0.0
XK24,1034.0
XK25,2816.9
XK26,4954.4
XK27,0.0
XK28,4029.0
XK29,0.0
XK30,0.0
XL21,4845.7
XL22,4364.9
XL23,5000.0
XL24,1080.0
XL25,1320.0
XL26,2760.0
XL27,4970.1
XL28,4982.8
XL29,4970.0
XL30,4920.2
XL61,10000.0
XL62,10000.0
XL63,9500.9
XL64,8469.0
XL65,9957.4
XL66,10000.0
XL68,9259.2
XL71,9503.2
XL72,10000.0
XL73,10000.0
XL74,9000.8
XL75,10000.0
XL76,9001.6
XL77,9543.7
XL78,10000.0
XM21,3729.3
XM22,2006.2
XM23,67.0
XM24,3346.0
XM25,1347.4
XN62,9675.5
XN63,9497.0
XN64,9980.5
XN65,7722.9
XN66,9655.8
XN67,8992.9
XN68,7017.0
XN71,9656.1
XN72,8270.6
XN73,9754.1
XN74,7390.9
XN75,9973.5
XN76,10000.0
XN77,7631.5
XN78,9041.9
XO31,700.1
XO32,0.0
XO33,620.0
XO34,4594.6
XO35,0.0
XO36,0.0
XO37,0.0
XO38,3310.0
XO39,1210.0
XO40,0.0
