FEEDER,CAPACITY
BD42,2938.56
BG21,1410.675
BG32,1500
NA01,1713.6
NA02,1800
NA03,1575.84
NA04,1800
NA05,1537.5
NA06,1800
NA07,1800
NA08,1339.5
NA09,1800
NA10,1746.45
NA11,1800
NA12,1701.44
NA13,1800
NA14,1800
NA15,1639.7
NA16,1770.39
NA17,1734
NA18,1786.14
NA19,1800
NA20,1800
NA51,1535.04
NA52,1484.42
NA53,1800
NA54,1524.915
NA55,1800
NA56,1800
NA57,1800
NA58,1800
NA61,1701.3
NA62,1544.48
NA63,1789.5
NA64,1800
NA65,1800
NA66,1800
NA68,1408.68
NB21,1800
NB22,1055.705
NB23,1762.765
NB24,1467.2
NB25,1513.76
NB27,1705.87
NB28,1793.88
NB29,1701.23
NB30,1755.225
NB31,1720.22
NB32,1800
NB33,1426.64
NB34,1800
NB35,1790.64
NB36,1490.9
NB37,1800
NB38,1713.6
NB39,1778.46
NB40,1800
NB52,1204.04
NB53,1800
NB54,1800
NB55,1542.95
NB57,1800
NB58,1800
NC21,1500
NC22,846.85
NC23,1297.18
NC25,1500
NC26,1500
NC27,1500
NC28,0
NC29,220.45
NC30,0
NC31,0
NC32,497.05
NC34,0
NC35,0
ND21,1417.65
ND22,0
ND23,1500
ND24,20.825
ND25,1266.96
ND26,1351.45
ND27,1476.66
ND28,1321.14
ND29,1452.3
ND30,1408.21
NE26,0
NE27,0
NE28,1332.38
NE29,743.32
NE30,1146.48
NE31,212.12
NE32,0
NE33,1421.95
NE34,818.48
NE35,1450.32
NF21,0
NF22,1399.99
NF23,914.1
NF24,0
NF26,1388.11
NF27,0
NF28,1003.05
NF29,0
NF30,0
NF33,1307.36
NF34,0
NF35,0
NG21,1480.4
NG22,473.808
NG23,1400.94
NG24,1434.36
NG25,957.08
NG26,0
NG27,1500
NG28,1118.66
NG29,1423.29
NG30,1343.66
NH21,1500
NH22,1490
NH23,1435
NH24,1343.3
NH25,1500
NH28,1419.12
NH29,1493.1
NH30,1500
NI21,1781.6
NI22,1800
NI23,1800
NI24,1800
NI25,1800
NI31,1746.975
NI32,1793.4
NI33,1774
NI34,1689.16
NI35,1401.19
NI36,1708.2
NI37,1800
NI38,1754.11
NI42,1738.56
NI43,1775.16
NI44,1754.76
NI45,1768.912
NJ21,1414.44
NJ22,1153.595
NJ23,908.92
NJ24,1500
NJ25,0
NJ26,1492.72
NJ27,1439.28
NJ28,937.445
NJ29,1471.2
NJ30,1267.92
NL21,1490.13
NL22,1500
NL23,1500
NL24,673.51
NL25,1146.51
NL26,0
NL27,1159.9
NL28,1248.295
NL29,1500
NL30,1460.89
NL32,1500
NL33,1500
NL34,1364.42
NL35,1500
NM21,1500
NM22,700.065
NM23,700.77
NM24,0
NM25,840.15
NM26,1475.16
NM27,1285.29
NM28,1215.03
NM29,1500
NM30,946.51
NM31,1500
NM32,1406.94
NM33,1307.73
NM34,1400.36
NM35,1490.4
NN21,1470.155
NN22,1466.4
NN23,213.5
NN24,1162.27
NN25,834.615
NN26,1500
NN27,1481.11
NN28,1399.5
NN29,1261.61
NN30,1400.88
NN31,1343.82
NN32,605.64
NN33,1500
NN34,1482.3
NN35,780.08
NO21,0
NO22,0
NO23,1581.92
NO24,1800
NO25,1583.52
NO26,1785.3
NO27,532.69
NO28,1794.345
NO29,1753.87
NO30,1401.64
NO31,1786.75
NO32,1767.36
NO33,1790.16
NO34,1623.44
NO36,1066.04
NO37,769.312
NO38,1458.26
NO39,1680.34
NP21,586.035
NP22,1500
NP23,1500
NP24,1465.25
NP25,1500
NP26,1486.66
NP27,1500
NP28,1400.25
NP29,1494.5
NP30,0
NQ21,158.41
NQ22,1500
NQ23,1453.93
NQ24,1093.1
NQ25,0
NQ31,0
NQ32,500.94
NQ33,1384.48
NQ35,0
NQ36,0
NQ38,1114.94
NQ39,740.025
NQ40,1476.9
NR21,1273.415
NR22,1270.3
NR23,1449.74
NR24,1248.16
NR25,1118.52
NS21,1352.02
NS22,0
NS23,81.48
NS24,1740.2
NS25,1482.61
NS26,0
NS27,0
NS28,0
NS29,0
NS30,977.725
NT21,1498.62
NT22,1388.675
NT23,0
NT24,1000.2
NT25,1500
NT26,1482.19
NT27,435.97
NT28,0
NT29,1456.44
NT30,918.13
NT31,1498.16
NT32,1500
NT33,1500
NT34,1500
NT35,0
NV21,1680.745
NV22,1550.8
NV23,1612.3
NV24,1526.5
NV25,1734.66
NV31,1784.94
NV32,1142.215
NV33,1703.8
NV34,1310
NV35,1035.44
NV51,1339.47
NV52,930.14
NV53,1800
NV54,1800
NV61,283.43
NV62,1800
NV63,0
NV64,1780.8
NV65,1800
NX20,776.68
NX21,1597.13
NX22,1770.24
NX23,1800
NX24,1582.65
NX25,1715.1
NX26,1800
NX27,1710
NX30,1750.49
NX31,1800
NX33,1800
NX35,1800
NX36,1800
NX37,1800
NX38,1366.32
NY21,0
NY22,1800
NY23,0
NY24,1580.62
NY25,260.22
NY31,1077.22
NY32,1510.715
NY33,1761.45
NY34,1800
NY35,1800
NY51,1300.68
NY52,1800
NY53,1795.5
NY54,576
NY55,1800
NY61,1722.45
NY62,1741.68
NY63,1800
NY64,1436
NY65,1016.64
QG22,5740.72
