FEEDER,CAPACITY
﻿3A21,5489.9
﻿3A22,5461.8
﻿3A23,5494.8
﻿3A24,5416.7
﻿3A25,5079.6
﻿3A26,5395.6
﻿3A27,5407.0
﻿3A28,5400.2
﻿3A29,5500.0
﻿3A31,4826.1
﻿3A32,5480.2
﻿3A33,5473.3
﻿3A34,5367.3
﻿3A35,4965.8
﻿3A36,5500.0
﻿3A37,5201.8
﻿3A38,5215.3
﻿3B21,3636.9
﻿3B22,4492.9
﻿3B23,2915.7
﻿3B24,0.0
﻿3B25,5316.7
﻿3B26,5490.1
﻿3B31,5428.2
﻿3B32,5421.7
﻿3B33,5500.0
﻿3B34,5414.7
﻿3B35,5367.0
﻿3B36,5199.3
﻿3C21,5000.8
﻿3C22,1130.0
﻿3C23,340.0
﻿3C24,5436.7
﻿3C25,5473.5
﻿3C31,5099.0
﻿3C32,5500.0
﻿3C33,3200.0
﻿3C34,1045.0
﻿3C35,5347.2
﻿3C61,8013.1
﻿3C63,11000.0
﻿3C70,8225.3
﻿3C72,9527.4
﻿3C73,9138.8
﻿3D20,5476.0
﻿3D21,5365.6
﻿3D22,5500.0
﻿3D23,527.1
﻿3D24,5471.2
﻿3D25,5007.1
﻿3D27,5500.0
﻿3D28,5124.3
﻿3D29,5500.0
﻿3D61,10145.2
﻿3D62,10439.4
﻿3D63,11000.0
﻿3D65,10512.7
﻿3D66,11000.0
﻿3D67,10980.6
﻿3D68,10733.7
﻿3D72,11000.0
﻿3D73,10652.9
﻿3D74,10725.5
﻿3D75,10464.9
﻿3D76,10896.4
﻿3D77,10862.2
﻿3D78,8366.4
﻿3E21,5500.0
﻿3E22,5500.0
﻿AD31,0.0
﻿AD40,4921.0
﻿AE33,5490.1
﻿AE37,4890.0
﻿G221,5309.3
﻿G222,5500.0
﻿G223,3945.6
﻿G224,5209.6
﻿G225,5274.8
﻿G231,5326.0
﻿G232,5500.0
﻿G233,5320.5
﻿G234,5500.0
﻿G235,5483.5
﻿G241,5500.0
﻿G242,5500.0
﻿G243,5189.7
﻿G244,5132.2
﻿G245,5493.8
﻿G351,11000.0
﻿G352,10991.7
﻿G353,10527.1
﻿G354,10625.6
﻿G355,11000.0
﻿G356,10977.9
﻿G357,10351.9
﻿G358,11000.0
﻿G361,10691.4
