FEEDER,CAPACITY
AH31,1818
B828,1946.07
JA21,3984
JA22,2975
JA23,3351.88
JA24,2933
JA25,3887.195
JA26,2574
JA27,3296.4
JA28,3187.13
JA29,3099
JA30,2052.56
JA31,2615
JA32,2671
JA33,2995.96
JA34,3748.96
JA35,2831.98
JA36,3390
JA37,2436
JA38,3938.89
JA39,2993.75
JA40,2654.095
JA5A,2270
JA5B,3016
JA5C,4481
JA5G,3127
JA71,3597
JA72,2574
JA73,2906
JA76,2602
JA77,2104
JA78,2354.3
JB21,2528.62
JB22,2854.28
JB23,2537
JB25,2885.135
JB36,2176.3
JB37,2481
JB39,2550
JB40,2716
JC21,1562.495
JC22,3294.24
JC23,2246.28
JC24,2203.85
JC25,2265.67
JC26,2158.555
JC27,2197.25
JC28,2873.475
JC29,1385.42
JC30,2924.97
JD21,0
JD22,2509
JD23,1316.76
JD24,1500
JD25,2763.36
JD26,1875.65
JD27,1655.915
JD28,1984.28
JD29,1976.86
JD30,1549.88
JD31,2737.2
JD32,2780.605
JD33,1558.11
JD34,1625.25
JD35,1934.98
JE21,3695.48
JE22,1427.26
JE23,3740.794
JE24,1181.95
JE25,836.33
JE26,2514.57
JE27,2827
JE28,777.112
JE29,2655.575
JE30,2547.57
JF21,1421.3
JF22,1075.875
JF23,1513.39
JF24,1539.3
JF25,1322.32
JF26,2837.81
JF27,636.865
JF28,2550.6
JF29,1821.56
JF30,2688.76
JF31,1680
JF32,1694
JF33,1884.83
JF34,2438.155
JF35,1956
JF36,2039
JG21,1694
JG22,1690.93
JG23,876.925
JG24,2952.1
JG25,904.95
JG26,3526.48
JG27,2383.81
JG29,2469.11
JG30,1158.13
JG31,1937.89
JG33,1421.48
JG34,1675.665
JG35,1910.62
JG36,1893.605
JG37,1853.52
JG39,2906.57
JG40,1870.54
JG41,2266.24
JG42,1735
JG51,1749
JG52,1088.54
JG61,4126
JG62,0
JH21,2510.99
JH22,2295.73
JH23,2106.65
JH24,2093.46
JH25,2106.24
JH26,1893.04
JH27,2740.98
JH28,2231.76
JH29,1136.29
JH30,1378.88
JI27,158.93
JI28,1270.38
JI29,1149.845
JI30,1875.92
JI31,0
JI32,1073.07
JI33,804.6
JI34,2437.98
JI35,939.622
JI36,1721.105
JI37,2012.347
JI38,0
JJ21,1837.66
JJ22,4074.12
JJ23,2795
JJ24,3749
JJ25,3544.62
JJ31,2122.9
JJ32,2356.825
JJ33,3070.27
JJ34,3728.43
JJ35,3447.9
JJ56,2797.475
JJ57,1994
JJ58,3324
JJ59,2456.32
JJ60,2325
JJ66,2961
JJ67,2775.415
JJ68,2602
JJ69,2691.46
JJ70,4150
JK21,2980.84
JK22,3032.6
JK23,3214.03
JK24,3698.105
JK25,3613.84
JK57,2436
JK58,3680
JK59,2940.88
JK60,2250.39
JL21,1743.54
JL22,3055.34
JL23,2993.29
JL24,2789.46
JL25,3152.6
JL26,1620.24
JL27,1858.42
JL28,2722.04
JL29,2654.65
JL30,2902.92
JN21,2323.02
JN22,2889.525
JN23,3028.81
JN24,3601
JN25,2785.51
JN26,2163
JN27,3988
JN28,2820.87
JN29,1968.59
JN30,2502.68
JN31,2715.84
JN32,2631.36
JN33,3836
JN34,2328
JN35,986.4
JO21,2419.91
JO22,2073.6
JO23,2483.5
JO24,1255.08
JO25,2407.52
JO26,2127.62
JO27,3405.23
JO28,2139.64
JO29,1952
JO30,2035
JO62,2115.16
JO63,2850
JO72,2216.56
JO73,1941.665
JO74,1945.69
JP21,2329
JP22,2398
JP23,3601
JP24,2964
JP25,2365.75
JP26,2290.37
JP27,2744
JP28,2426
JP29,2526.96
JP30,2882
JP31,2646.94
JP32,2575.68
JP33,3177.06
JP34,2239.17
JP35,2329
JR21,2539.4
JR22,3352
JR23,3188.52
JR24,2666.72
JR25,3729.1
JR26,3508.405
JR27,2107.6
JR28,3117
JR29,2584.185
JR30,2790.925
JS21,1829.86
JS22,2234.04
JS23,1333.74
JS24,2433
JS25,3152.36
JS26,1625.38
JS28,3424
JS29,1500
JS30,1740.82
JS32,2596.13
JS33,2557.96
JS34,0
JS35,2991.8
JV21,2327.48
JV22,2316.49
JV23,2313.4
JV24,3184.58
JV25,1908.39
JV31,2538.995
JV32,1711.01
JV33,3020.58
JV34,2270
JV35,2910.42
JV57,2076
JV66,2061.03
JV67,2657.355
JV68,2696.1
JW21,3138.86
JW23,1548.965
JW24,2413.625
JW25,3086.48
JW26,2653.19
JW27,1935.59
JW28,3757.08
JW29,3167.41
JW30,4116.34
JW31,1376.12
JW32,3043.24
JW33,1777.68
JW34,2237
JW35,3391.02
JX21,1454.4
JX22,1402.815
JX23,1277.565
JX24,1318.05
JX25,1366.155
JY21,1624
JY22,1533.64
JY27,1555.712
JY28,1610.36
JZ21,2730
JZ22,2274
JZ23,3696.6
JZ24,2506.025
JZ25,1901
JZ26,1462.37
JZ27,97.1
JZ28,3060.885
JZ29,2219.64
JZ30,2852.6
VB21,1156.55
VB26,3021.61
VB30,2116.72
VD32,3027.44
VE28,990.36
VH32,2812.475
XA27,414.185
XA29,2025.78
XG23,2813
XR23,0
XT23,0
XT30,735.96
