FEEDER,CAPACITY
﻿QA21,5405.9
﻿QA22,5484.0
﻿QA23,5086.4
﻿QA24,4791.0
﻿QA25,5458.4
﻿QA26,5386.2
﻿QA27,5219.1
﻿QA28,5500.0
﻿QA29,4867.9
﻿QA30,4349.9
﻿QA31,5361.4
﻿QA32,5500.0
﻿QA33,4916.1
﻿QA34,5434.3
﻿QA35,4929.5
﻿QA36,5434.5
﻿QA37,4965.1
﻿QA38,1820.0
﻿QA39,5420.0
﻿QB21,1280.0
﻿QB22,0.0
﻿QB23,4837.0
﻿QB24,5423.5
﻿QB25,5458.0
﻿QB26,5135.1
﻿QB27,0.0
﻿QC21,4911.5
﻿QC22,0.0
﻿QC23,4411.0
﻿QD01,5500.0
﻿QD02,5500.0
﻿QD03,5500.0
﻿QD04,5500.0
﻿QE21,0.0
﻿QE22,1010.0
﻿QE23,0.0
﻿QE25,5355.9
﻿QE26,3220.0
﻿QE27,4934.0
﻿QE29,3360.0
﻿QE40,4385.0
﻿QE41,4400.0
﻿QE42,4676.2
﻿QE43,4430.0
﻿QE44,0.0
﻿QE45,1290.0
﻿QE46,600.0
﻿QE47,5500.0
﻿QE48,0.0
﻿QF01,5458.6
﻿QF02,5491.7
﻿QF03,5470.6
﻿QG11,5020.0
﻿QG12,2137.7
﻿QG22,4503.4
﻿QG23,2479.0
﻿QH21,5162.2
﻿QH22,5264.1
﻿QH23,5139.6
﻿QI11,1100.0
﻿QI12,3471.1
﻿QI13,5125.5
﻿QI14,4534.4
﻿QI15,3510.0
﻿QI21,5117.5
﻿QI22,5384.6
﻿QI23,0.0
﻿QI24,370.0
﻿QI25,1630.0
﻿QJ11,5424.8
﻿QJ12,5465.7
﻿QJ13,5465.7
﻿QJ14,5465.2
﻿QJ15,5484.8
﻿QJ16,5332.0
﻿QJ21,622.5
﻿QJ22,5500.0
﻿QJ23,5021.7
﻿QJ24,0.0
﻿QJ25,5446.8
﻿QJ26,5500.0
﻿QK11,5415.8
﻿QK12,2661.6
﻿QK21,5105.5
﻿QK24,5316.6
﻿QM11,4239.8
﻿QM12,0.0
﻿QM13,4651.3
﻿QM21,4466.8
﻿QM24,5500.0
﻿QN11,5207.4
﻿QN12,5265.9
﻿QN13,0.0
﻿QN21,4226.9
﻿QN22,5500.0
﻿QN24,0.0
