FEEDER,CAPACITY
EV28,2284
EV29,3611
EV30,3182
EV31,3459
EW21,3090
EW22,1804
EW23,2785
EW25,2082.5
EW26,1989.36
EW27,2841
EW28,2371
EW29,3601
EW30,3236.3
EW31,3735.1
EW32,2910
EW33,2855
EW34,4433.94
EW35,2937
EW37,2454
EW38,3611.04
EW39,3449
EW40,3125.2
EW41,2481
EX21,4158.99
EX22,2574.8
EX23,3496.5
EX25,3200
EX26,3487.82
EX32,3546
EX33,3753
EX34,3599.49
EX35,2064.14
EX36,3711
EY21,3490
EY22,1628.725
EY25,1887
EY26,2081
EY27,3629
EY29,2661
EY30,2219
EY34,3960
EY36,1970
EY38,4336.075
EY39,2233
EY42,1776
EY43,2343
EY44,2882
EY46,3117
EZ25,2436
EZ26,2726
EZ27,4288
EZ28,2676.4
EZ29,2256
EZ31,3237
EZ32,4039
EZ33,2740
EZ34,3123.6
EZ35,3284.28
EZ36,3514
EZ37,3597
EZ38,2428.88
EZ39,3528
EZ40,2933
EZ41,3749
EZ42,3367.48
EZ43,3800.22
EZ44,2284
EZ51,1938
EZ52,5062
EZ53,3431
EZ54,5394
FK21,4261.828
FK26,2588.64
FK27,3097.24
FK29,2688.04
FK35,3283
FR22,2709.25
FR28,2642.2
FS22,2578
FS28,2702
FS29,2371
FS34,1666
FU21,1901
OA01,3680
OA21,3587.055
OA22,4316
OA23,3758.56
OA24,2767.32
OA25,2837
OA36,2864
OA37,3104.72
OA38,3155
OA39,3832
OA40,3749
OA41,2115.88
OA42,4398
OA43,2574
OA44,4597.72
OA45,5304.76
OA46,2657
OA47,3650.2
OA48,3275.24
OA49,3348
OA61,2574
OA62,2740
OA71,2823
OA73,1828
OB01,2422
OB21,2394
OB22,3257
OB23,2228
OB24,2850
OB25,4053
OB27,4130.34
OB28,5214
OB29,2892
OB30,2892
OB31,3155
OB32,1924
OB34,2643
OB36,2173
OB37,2090
OB38,1952
OB39,2629
OB40,1800
OB41,3251
OB42,2671
OB44,2450
OB47,1952
OB48,3237
OB5A,5530.35
OB5C,3660.05
OB5D,5026.32
OB5E,4509
OB5F,1911
OC21,3707
OC22,3472
OC23,2961
OC24,3265
OC25,2837
OC26,3542
OC27,3155
OC28,4164
OC29,2905.58
OC30,3597
OC5B,7190
OC5C,2033.76
OC5D,2298
OC5F,2740
OC5H,2519
OC61,1784.16
OC62,3486
OC63,2325
OC72,2602
OC73,4730
OC75,2159
OC76,3790
OC77,7854
OC78,2049
OD21,2605
OD22,4371
OD23,2998
OD24,2021
OD25,2740
OD26,2775.12
OD31,3417
OD32,2035
OD33,2533
OD34,2354
OD35,4675
OD36,2163.43
OD38,2804.05
OD39,2201
OD40,2487.36
OD41,3486
OD42,3786.4
OD43,2381
OD44,3141
OD45,3010.455
OD46,3237
OD47,2892
OD48,3431
OD49,2602
OD61,2187
OE21,2714.49
OE22,3255
OE23,3864.5
OE25,2371
OE26,2343
OE27,1942
OE28,2924
OE29,2011
OE30,3014.2
OE31,4519
OE32,2592
OE33,3739
OE34,1707
OE35,1707
OE36,2633
OG21,2215
OG22,3673
OG23,1883
OG26,2353
OG27,2906
OG28,2184.67
OG29,4060.36
OG30,3030
OG51,3837.44
OG53,1883
OG54,3182
OG61,1921.02
OG64,2657
OH22,1826.24
OH27,2021
OH29,2090
OH30,3901
OH31,2076
OH32,2754.56
OH33,1800
OH34,2931.2
OH36,2139.3
OH37,3307
OH38,2993.2
OH39,2953.2
OH40,2484.96
OH41,3251
OH42,1952
OH57,2931.1
OH58,6499
OH61,5974
OH62,2104
OH63,3459
OH65,5532
OH66,2242
OH67,2242
OH68,5228
OI21,2700.47
OI22,1928
OI23,3435
OI25,2716
OI27,1653.815
OI28,2108
OI29,1597
OI30,3742.75
OI31,1611
OI32,2548.75
OI33,2177
OI34,1555
OI35,2302
OJ21,3195.75
OJ22,3445
OJ23,4172.84
OJ25,3932.9
OJ31,1966
OJ32,3248.16
OJ33,2920
OJ34,3044
OJ35,1980
OJ53,5449
OJ54,3210
OJ55,2543.6
OJ56,2325
OJ57,2159
OJ58,2104
OJ60,3563.411
OJ61,2269.49
OJ62,2408
OJ64,2408
OJ70,3790
OJ74,2961
OK22,2391.095
OK23,2753
OK24,3459
OK25,2076
OK26,2519
OK27,3846
OK29,3721
OK30,2063
OK32,1938
OK35,3644.6
OK36,1800
OK37,3014.2
OK38,3176.19
OK39,2892
OK40,2643
OK51,1911
OK52,3253.16
OK53,1800
OK55,2242
OL51,4758
OL52,4771.898
OL53,5338
OL54,4286.5
OL55,1930.72
OL56,2574
OL57,2989
OL59,2381
OL60,5090
OL61,2795
OL62,5117
OL65,2546
OL67,5947
OL68,3099
ON23,2915.68
ON24,3090.72
ON25,2270
ON26,3680
ON27,4390.68
ON28,4522.24
ON29,2809
ON30,2634.3
ON51,6029
ON52,3182
ON53,2353
ON54,5228
ON55,2205.25
ON56,2049
ON57,6325.72
ON58,2242
ON60,2242
ON61,5118.6
ON62,6370.6
ON65,3262.12
ON66,2076
ON67,3431
ON68,4868
OO53,7001
OO55,3882
OO56,7056
OO57,2606
OO60,3214
OP21,3666
OP22,2643
OP23,3621.8
OP24,3701.97
OP25,3926.225
OP26,4534.2
OP27,3749
OP28,3060.5
OP29,2634.66
OP30,2517.24
OP31,4136
OP32,3244.64
OP33,2961
OP34,2408
OP35,3472
OP36,3569
OP37,3592.32
OP38,3044
OP39,2578.34
OP40,2472.77
OP52,7108
OP53,2076
OP54,2325
OP56,3707
OP58,3735
OQ22,2076
OQ23,3362
OQ24,4150
OQ25,2790.59
OQ26,3334
OQ27,3155
OQ28,2256
OQ29,3431
OQ30,4398
OQ32,3583
OQ33,3336.78
OQ35,3085
OQ38,2250
OQ39,1866.99
OQ40,2473.16
OQ51,2270
OQ52,6886
OQ56,2270
OS21,3790
OS22,2837
OS23,3053.8
OS24,2976.84
OS25,3528.46
OS31,3416.35
OS32,2226
OS33,2809
OS34,3175.44
OS35,2146
OS61,4122
OS62,0
OS71,3342.28
OS72,2768
OS73,2287.77
OS74,4051.44
OT01,2671
OT02,2256
OT03,2779.2
OT04,2256
OT05,2795
OT06,4067
OT07,2685
OT08,2726
OT09,1814
OT10,2228
OT11,2780.8
OT12,4849.345
OT14,3168
OT15,3279
OT16,2795
OT18,2975
OT19,2076
OT20,2781
OT21,2795
OT22,3279
OT23,3542
OT24,3348.75
OT25,1911
OT27,1994
OT28,4357
OT29,3072
OT30,2649.49
OT52,1994
OT53,4786
OT61,7025
OT62,5180.65
OU21,4398
OU22,3859
OU23,2505
OU24,2795
OU25,3417
OU26,2325
OU27,1966
OU28,3942
OU29,3417
OU30,4812.24
OU31,4014.86
OU32,3777
OU33,3721
OU34,3320
OU35,3237
OU36,4371
OU37,4011
OU38,3224
OU39,2422
OU40,4484.26
OU5A,2353
OU5B,3929
OU5C,2270
OU5E,3735
OU5H,5145
OU71,2076
OU72,7153.6
OU73,2768
OU74,1994
OU76,4786
OU78,2242
OV26,2225.26
OV28,2021
OV29,2882.28
OV30,3777
OV36,3843
OV39,3611
OV40,3984
OV51,1841.5
OV52,5117
OV53,2850
OV55,2298
OV62,2795
OV63,1827.91
OV64,4260
OV65,5090
OX21,4910
OX22,2880
OX23,2749.14
OX24,1869
OX25,3251
OX26,4692.35
OX28,4633
OX30,3777
OX52,4011
OX53,1911
OX54,3790
OX61,5357.72
OX65,2104
OY21,3549.8
OY22,2892
OY23,2430.5
OY24,1800
OY26,2132
OY27,5325
OY28,4412
OY29,2740
OY30,2256
OY31,3002
OY32,1828
OY33,2837
OY34,4246
OY35,1841
OY36,3072
OY37,2546
OY38,4061.24
OY39,2477
OY40,3680
OY51,4260
OY52,6118.2
OY54,4284.55
OY55,7273
OY56,6471.72
OY57,3376
OZ22,2294.55
OZ23,3099
OZ24,4495
OZ25,3168
OZ26,2754
OZ29,3873
OZ30,2146
OZ31,3582.2
OZ33,3376
OZ34,1952
OZ35,2394
OZ37,2920
OZ38,3072
OZ39,3155
YA53,4098.98
YD23,2847
YD24,1918
YD27,2866
YD30,3064
YD33,3103
YD40,3064
YD71,2708
YH24,2428
YN51,2748
YN52,3656
YN53,6163.28
YN54,2985
YN56,2585.4
YN61,3072
YN62,5449
YN63,4011
YN64,2657
YN66,3403
YN71,4924
YN72,5591
YN73,2878
YN74,2658.22
YN75,5512
YP23,3554
YP28,2586
YP33,2547
YP37,5034
YP40,2902
YP44,2290
YQ21,3902.56
YQ24,3427.8
YQ33,3834
YQ35,2432
YQ40,3794
YR32,4090
YR35,3893
YR49,2333
YW28,1670.8
YY31,2570
YY32,2333
YY34,2891.375
YY36,1918
YY37,2728
YY38,4446
YY39,2373
YY41,2965
YY42,1839
YY44,2610
YY46,2076
YY47,1978
YY48,3261
YY49,3555.88
YY52,2076
YY53,2708
YY54,3735
YY55,2353
YY56,5078
YY71,2787
YY72,2037
YY73,2037
YY74,4801
YY75,3222
YY78,2353
