FEEDER,CAPACITY
5B26,2073
5D23,3170.85
5D38,3721.26
5F51,2428.31
5F52,2669
5F53,3103
5F56,3991.64
5F61,2511
5F62,3698.7
5F63,5186.88
5F64,3064
5F66,2471
5F71,4406
5F72,2313
5F73,3064
5F74,2116
5F75,2590
5F76,2026
E221,3472
E222,2408
E223,2132
E224,1966
E225,2463
E226,2588
E227,2602
E228,2909.86
E229,4426
E230,2339
E251,2657
E252,2850
E254,1994
E261,3908.56
E262,2270
E264,2768
E353,2873.64
E354,2712
E356,5560
E357,3097.22
E358,3348
E364,6563.37
E366,2768
E368,3016
E421,2340.74
E423,3435.25
E425,2533
E426,2422
E427,1994
E428,3741
E429,3210
E431,2975
E432,3052.28
E433,3707
E436,1767.42
E437,2339
E439,3182
E440,2671
E521,2602
E522,3087.35
E523,2256
E524,1924
E525,2893.54
E526,2602
E528,3135.5
E529,2090
E530,3528.48
E561,2021
E562,5421
E563,2602
E564,2795
E566,1855
E567,8434
E568,2049
E569,2159
E721,3362
E725,2159
E726,4517.28
E727,2090
E728,3070.99
E729,3804
E730,4671.2
E751,2712
E752,4150
E753,1994
E755,8352
E756,2436
E757,2933
EA21,3293
EA22,3293
EA23,2823
EA24,4468
EA25,3431
EA26,4592
EA27,2104
EA28,4426
EA29,3942
EA30,1911
EA31,4344.85
EA32,2173
EA33,2475.41
EA34,4768.88
EA36,3613.72
EA37,3459
EA38,2989
EA39,2740
EA40,2947
EA61,2021
EA62,2104
EA63,2519
EA64,1855
EA65,1883
EA71,2049
EA72,1828
EA73,1911
EA74,5615
EA75,3956
EB21,4002
EB22,1569
EB23,4555
EB25,3283
EB26,3255
EB27,3926.04
EB28,2339.8
EB29,3115.6
EB30,2979
EB31,3164.25
EB32,2385
EB33,3365.24
EB34,2799
EB35,3946
EB36,4748
EC21,4264
EC22,3214
EC25,4527
EC26,2675
EC27,3642
EC28,4071
EC29,5370
EC30,2205
EC32,3919
EC33,3794
EC34,3546
EC35,3764.88
EC36,2246
ED21,1980
ED22,3569
ED23,2421.77
ED24,2698
ED29,2655.68
ED30,2533
ED31,4159.97
ED32,4799
ED37,2892
ED38,2975
ED39,3486
ED40,3010.8
ED51,4295.52
ED52,2685
ED53,3057.675
ED54,2159
ED56,3016
ED57,5753
ED58,5593
ED60,2876.5
ED61,2132
ED62,1966
EE21,3401.24
EE22,2122
EF21,3312.2
EF22,2461.24
EF23,3030
EF25,3615.28
EF26,2491
EF27,2780.94
EF28,3127.72
EF29,2491.11
EF30,3464.88
EF31,2256
EF51,2740
EF52,1966
EF53,7190
EF54,4564
EF55,1966
EF61,2350.05
EF65,6566.825
EF71,1883
EF73,3155
EF74,3946.13
EF75,2289.72
EF77,2458
EG21,3032
EG23,3619.64
EG25,3599.65
EG26,2581.08
EG27,2108
EG28,2840.62
EG29,2166
EG30,3034.08
EG31,2387.92
EH21,2454
EH22,3007
EH25,2716
EH26,3380
EH27,2155.44
EH29,3725
EH30,3048
EH31,2364.2
EI21,3117
EI22,2081
EI23,4112
EI25,5301
EI26,2813
EI27,3514.71
EI28,2882
EI29,3006.07
EI30,3715.4
EI31,3170.8
EI32,2385
EI33,3679.98
EI34,4361
EI35,3601
EI36,3698
EI37,3172
EI38,3007
EI39,2868
EI40,3131
EI41,3269
EJ21,1797.28
EJ23,2813
EJ25,1915
EJ26,1694
EJ27,3131
EJ29,3698
EJ32,1746.72
EJ34,1965.525
EJ36,1500
EK21,2664.77
EK22,3131
EK23,3186
EK26,2620
EK27,3379.24
EK28,3311
EK29,3794
EK30,2578
EK31,1666
EL21,3735
EL22,3859
EL23,2947
EL24,2339
EL25,3899.72
EL26,2716.1
EL27,3196
EL28,2215
EL29,1814
EL30,4882
EL31,3679.8
EL32,4617.88
EL33,3362
EL34,2928.6
EL35,2560
EL36,2629
EL37,2802.76
EL40,3873
EL41,3707
EL42,3984
EL43,3250.24
EL44,2104
EL45,3542
EM21,2412
EM22,1859
EM23,3200
EM25,3394
EM26,2896
EM27,2481
EM29,3629
EM30,3352
EM31,2818.68
EM32,4679
EM33,4900
EM34,2163
EM35,3877
EM36,1928
EN22,2306.425
EN23,4057
EN25,3251.564
EN27,2776
EN28,4071
EN29,1694
EN31,3255
EN32,2855
EN34,2841
EN35,3090
EN36,3448.24
EN38,2163
EN39,4499
EN40,2246
EN42,4043
EN44,2993
EN45,1956
EN46,3255
EO22,3546
EO23,1984
EO27,2440
EO29,1818
EO30,2758
EO31,3140
EO32,2738.5
EO33,1842.14
EO36,4638
EP21,2661
EP22,4651
EP23,4045.74
EP26,4237
EP27,2302
EP28,2491.84
EP29,2910
EP30,3762.22
EP32,1779.94
EP33,2191
EP34,4278
EP35,3242
EP36,2295.48
EP37,4112
EP38,2572.5
EP39,2758.75
EP40,2937
EP41,4209
EP42,4969
EP43,4057
EP44,4444
EQ21,3380
EQ23,2136
EQ25,3974
EQ26,3587
EQ27,2647
EQ29,2855
EQ30,1915
EQ32,2233
EQ33,3242
EQ34,4333
EQ35,3062
EQ36,2772
EQ37,2993
EQ38,3103
EQ40,2983.39
EQ41,3767
EQ42,2882
EQ44,3919
EQ46,3034
ER21,3559
ER23,2481
ER25,4241
ER26,2426
ER27,3850
ER28,3517.24
ER31,2860.98
ER32,4900
ER33,2620
ER34,2924
ER36,3545.07
ER37,2701.24
ER39,2710.28
ER40,3642
ES21,3554.94
ES22,2398
ES23,3886.06
ES25,3877
ES26,1989.675
ES27,2855
ES28,4472
ES29,3283
ES30,2246
ES31,1582.25
ES32,3477
ES33,2758.5
ES34,2440
ES35,4403
ET21,2633
ET23,3090
ET27,2343
ET28,2412
ET29,2302
ET30,4112
ET31,1680
ET33,2675
ET34,2323.26
ET35,3246.5
ET36,2841
ET37,3131
EU21,3376
EU22,2726
EU23,4209
EU25,3002
EU26,3317.5
EU27,3224
EU28,2237.18
EU29,3155
EU31,2739.8
EV01,2505
EV02,3542
EV03,2902.05
EV05,3445
EV07,2975
EV10,2615
EV11,3044
EV12,3334
EV13,2874.11
EV14,2795
EV15,2367
EV16,2173
EV17,2671
EV18,3224
EV19,2611.98
EV21,2076
EV22,3099
EV23,2132
EV25,2505
EV26,3099
EV27,2712
