ROWNUM,X,Y,FEEDER
﻿1,222238.75399999999,2611793.25,AH31
﻿2,219169.50599999999,2578901.878,B828
﻿3,219105.91,2579055.6579999998,B828
﻿4,217481.03400000001,2576228.9350000001,B828
﻿5,219196.99100000001,2578648.4380000001,B828
﻿6,219312.29500000001,2578671.96,B828
﻿7,192763.505,2597995.1570000001,JA21
﻿8,192783.45300000001,2597747.2620000001,JA21
﻿9,192318.764,2597854.926,JA21
﻿10,192849.86900000001,2598004.804,JA21
﻿11,192192.038,2597709.6630000002,JA21
﻿12,192642.32199999999,2598184.088,JA21
﻿13,192262.37299999999,2597739.0299999998,JA21
﻿14,192643.77100000001,2597729.7790000001,JA21
﻿15,192472.041,2598018.7790000001,JA21
﻿16,192733.41399999999,2598179.9500000002,JA21
﻿17,192509.712,2598110.6919999998,JA21
﻿18,192779.277,2598208.8870000001,JA21
﻿19,192583.33300000001,2598240.0320000001,JA21
﻿20,192479.60200000001,2598113.477,JA21
﻿21,192361.68400000001,2597921.7179999999,JA21
﻿22,192268.481,2597868.111,JA21
﻿23,192381.02499999999,2597231.3459999999,JA22
﻿24,192282.41500000001,2597262.0649999999,JA22
﻿25,192414.77299999999,2597491.483,JA22
﻿26,192433.33100000001,2597351.9169999999,JA22
﻿27,192264.76300000001,2597554.25,JA22
﻿28,192448.83600000001,2597538.4909999999,JA22
﻿29,192193.902,2597309.4440000001,JA22
﻿30,192391.867,2597490.6940000001,JA22
﻿31,192284.28099999999,2597362.7140000002,JA22
﻿32,192397.30799999999,2597328.9279999998,JA22
﻿33,192404.50899999999,2597571.6030000001,JA22
﻿34,192235.66500000001,2597467.7850000001,JA22
﻿35,192490.32800000001,2597248.3590000002,JA22
﻿36,192309.65599999999,2597145.8089999999,JA22
﻿37,193668.916,2597053.8050000002,JA23
﻿38,192985.861,2597465.3599999999,JA23
﻿39,193303.326,2597410.1129999999,JA23
﻿40,193015.73499999999,2597142.5780000002,JA23
﻿41,193497.16099999999,2597146.6770000001,JA23
﻿42,192864.97200000001,2597166.0040000002,JA23
﻿43,193128.769,2597569.3319999999,JA23
﻿44,193006.022,2597257.4920000001,JA23
﻿45,193136.592,2597249.5819999999,JA23
﻿46,193254.883,2597211.3360000001,JA23
﻿47,193146.69899999999,2597154.7650000001,JA23
﻿48,193001.092,2597234.1490000002,JA23
﻿49,193156.94399999999,2597492.0750000002,JA23
﻿50,193202.10699999999,2597607.6460000002,JA23
﻿51,193253.53200000001,2597148.375,JA23
﻿52,193234.818,2597559.2170000002,JA23
﻿53,193248.19200000001,2597360.0780000002,JA23
﻿54,193583.85200000001,2597038.6170000001,JA23
﻿55,193155.446,2597609.4399999999,JA23
﻿56,193348.06700000001,2597172.9500000002,JA23
﻿57,193289.83799999999,2597410.54,JA23
﻿58,193028.55100000001,2597464.8300000001,JA23
﻿59,193553.53099999999,2597100.7760000001,JA23
﻿60,193066.905,2597571.6860000002,JA23
﻿61,193693.30100000001,2597158.997,JA23
﻿62,193403.133,2597028.1690000002,JA23
﻿63,193588.08900000001,2597232.1869999999,JA23
﻿64,193793.71100000001,2597095.2579999999,JA23
﻿65,193439.53099999999,2597092.7599999998,JA23
﻿66,193151.679,2597394.102,JA23
﻿67,191954.66200000001,2596944.156,JA24
﻿68,191602.29300000001,2595121.02,JA24
﻿69,191907.87599999999,2595428.6200000001,JA24
﻿70,191986.07399999999,2596655.2039999999,JA24
﻿71,191654.37100000001,2595155.4019999998,JA24
﻿72,191710.42199999999,2595210.2919999999,JA24
﻿73,192032.92800000001,2595530.5040000002,JA24
﻿74,191808.07800000001,2595221.784,JA24
﻿75,192090.44399999999,2596877.111,JA24
﻿76,191984.04999999999,2596769.611,JA24
﻿77,191460.345,2595003.0040000002,JA24
﻿78,192178.973,2595663.8149999999,JA24
﻿79,191825.26999999999,2595339.5830000001,JA24
﻿80,192007.473,2596779.3300000001,JA24
﻿81,192097.44699999999,2595666.1000000001,JA24
﻿82,191684.57399999999,2595201.96,JA24
﻿83,191965.921,2595511.8650000002,JA24
﻿84,192110.06299999999,2596832.1600000001,JA24
﻿85,191950.04000000001,2596864.9240000001,JA24
﻿86,192062.69899999999,2595480.2149999999,JA24
﻿87,191969.37899999999,2596599.4440000001,JA24
﻿88,192117.389,2596925.4249999998,JA24
﻿89,192105.967,2595516.0950000002,JA24
﻿90,192054.69899999999,2596929.8220000002,JA24
﻿91,193848.89499999999,2596432.318,JA25
﻿92,193851.18799999999,2596136.0210000002,JA25
﻿93,193874.06700000001,2596218.5819999999,JA25
﻿94,193604.89300000001,2596366.432,JA25
﻿95,193765.91800000001,2596523.3840000001,JA25
﻿96,193754.47200000001,2596719.9380000001,JA25
﻿97,194065.28,2596040.0600000001,JA25
﻿98,194258.092,2596272.6490000002,JA25
﻿99,193979.27799999999,2596545.9270000001,JA25
﻿100,194154.334,2596103.7760000001,JA25
﻿101,193799.45499999999,2596309.077,JA25
﻿102,194142.74900000001,2596607.6060000001,JA25
﻿103,193691.56,2596610.5780000002,JA25
﻿104,194089.53200000001,2596703.1069999998,JA25
﻿105,193767.64799999999,2596696.1290000002,JA25
﻿106,193575.573,2596440.8220000002,JA25
﻿107,193868.37,2596535.7110000001,JA25
﻿108,193474.152,2596428.2560000001,JA25
﻿109,193831.177,2596626.3390000002,JA25
﻿110,194062.04999999999,2596257.7769999998,JA25
﻿111,193705.22200000001,2596845.943,JA25
﻿112,193649.79199999999,2596447.3280000002,JA25
﻿113,194014.84899999999,2596318.2779999999,JA25
﻿114,194053.41200000001,2596134.105,JA25
﻿115,193590.13,2596253.2650000001,JA25
﻿116,193584.40400000001,2596183.0060000001,JA25
﻿117,194076.36199999999,2596489.8790000002,JA25
﻿118,193718.55900000001,2596272.7790000001,JA25
﻿119,194207.117,2596335.1690000002,JA25
﻿120,194012.46900000001,2596535.2230000002,JA25
﻿121,193942.28700000001,2596635.9040000001,JA25
﻿122,194122.511,2596501.5440000002,JA25
﻿123,193816.10999999999,2596337.2170000002,JA25
﻿124,193724.85000000001,2596843.0049999999,JA25
﻿125,193989.23800000001,2596020.3330000001,JA25
﻿126,193706.12899999999,2596478.9029999999,JA25
﻿127,193991.29699999999,2596320.551,JA25
﻿128,194162.981,2596367.642,JA25
﻿129,194070.00599999999,2596607.1779999998,JA25
﻿130,193501.17600000001,2596319.2710000002,JA25
﻿131,193611.09599999999,2596248.4180000001,JA25
﻿132,193999.448,2596169.0520000001,JA25
﻿133,193949.42800000001,2596444.898,JA25
﻿134,194321.44200000001,2596375.6660000002,JA25
﻿135,193869,2596724.2590000001,JA25
﻿136,194179.23800000001,2596298.827,JA25
﻿137,193472.89000000001,2596584.4440000001,JA25
﻿138,193519.307,2596559.622,JA25
﻿139,194002.46599999999,2596201.04,JA25
﻿140,192484.932,2597154.3029999998,JA26
﻿141,192296.87599999999,2597661.7450000001,JA26
﻿142,192378.492,2597598.21,JA26
﻿143,192779.56299999999,2597712.7609999999,JA26
﻿144,192189.745,2597602.557,JA26
﻿145,192471.83199999999,2597674.5800000001,JA26
﻿146,192319.155,2597042.9040000001,JA26
﻿147,192380.21400000001,2597662.9479999999,JA26
﻿148,192280.72399999999,2597140.3300000001,JA26
﻿149,192691.39499999999,2597708.4160000002,JA26
﻿150,192555.96400000001,2597691.3670000001,JA26
﻿151,192255.60000000001,2597582.7769999998,JA26
﻿152,192187.49299999999,2597048.514,JA27
﻿153,191948.274,2597108.2140000002,JA27
﻿154,191976.96900000001,2597272.0129999998,JA27
﻿155,192022.16699999999,2597292.4169999999,JA27
﻿156,192090.92199999999,2597040.5389999999,JA27
﻿157,191992.30499999999,2597313.23,JA27
﻿158,192049.44099999999,2596995.9479999999,JA27
﻿159,191870.72099999999,2597190.77,JA27
﻿160,192004.79800000001,2597074.1490000002,JA27
﻿161,192129.408,2597106.7990000001,JA27
﻿162,191984.557,2596989.4369999999,JA27
﻿163,192112.36499999999,2597240.3190000001,JA27
﻿164,192271.209,2595188.415,JA28
